H	1	2	h/X	X/h	0	-1	-1	0	0	32	32	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	1	3	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	3/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/46	0/0	0	0	2	0	author	author
Lu	2	0	l/u	l/u	0	-1	-1	0	0	46	46	44	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	3	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/44	0/0	0	0	2	0	author	author
S	1	2	s/X	X/s	0	-1	-1	0	0	44	44	46	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	1	4	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/46	1/0	0	0	2	0	author	author
Dwarkadas	9	0	d/w	a/s	0	-1	-1	0	0	46	46	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/0/0/0	0	0	4	0/0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/44	0/0	0	0	1	1	author	author
A	1	2	a/X	X/a	0	-1	-1	0	0	44	44	46	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	1	5	0/0	0	0	1/0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/46	1/0	0	0	1	0	author	author
Cox	3	0	c/o	o/x	0	-1	-1	0	1	46	46	44	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	5	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/44	1/0	0	0	1	0	author	author
and	3	1	a/n	n/d	0	-1	-1	0	0	44	44	32	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	2	6	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	1/0	0	0	3	0	author	author
W	1	2	w/X	X/w	0	-1	-1	0	0	44	44	46	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	1	7	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/46	1/0	0	0	3	0	author	author
Zwaenepoel	9	0	z/w	e/l	0	-1	-1	0	1	46	46	46	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/0/0/0	0	0	7	0/0	0	0	0/2	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/46	1/0	0	0	0	2	author	author
Message	9	0	m/e	g/e	0	-1	-1	0	0	46	46	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	8	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	2/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0/0	0	0	0	0	title	title
passing	9	1	p/a	n/g	0	-1	-1	0	1	46	46	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	8	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0/0	0	0	0	0	title	title
versus	6	1	v/e	u/s	0	-1	-1	0	0	46	46	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	9	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0/0	0	0	0	0	title	title
distributed	9	1	d/i	e/d	0	-1	-1	0	1	46	46	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	9	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0/0	0	0	0	0	title	title
shared	6	1	s/h	e/d	0	-1	-1	0	0	46	46	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	9	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0/0	0	0	0	0	title	title
memory	6	1	m/e	r/y	0	-1	-1	0	1	46	46	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	8	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	1/0	0	0	0	0	title	title
on	2	1	o/n	o/n	0	-1	-1	0	1	46	46	32	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	7	0/0	0	0	2/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	1/0	0	0	0	0	title	title
networks	9	1	n/e	k/s	0	-1	-1	0	1	46	46	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	6	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	1/0	0	0	0	0	title	title
of	2	1	o/f	o/f	0	-1	-1	0	1	46	46	32	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	80	0/0/0/0	0	0	5	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	1/0	0	0	0	0	title	title
workstations	9	1	w/o	n/s	0	-1	1	0	1	46	46	46	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/0/0/0	0	0	4	0/0	0	0	0/2	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0/46	1/0	0	0	0	2	title	title
In	2	0	i/n	i/n	1	-1	-1	0	1	46	46	32	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	3	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	2/0	0	1	0	3	0	1	1	0	0	0	0	0	0	0	0	0/32	0/0	0	0	0	0	booktitle	booktitle
Proceedings	9	0	p/r	g/s	0	0	-1	0	1	46	46	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	2	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0/32	1/0	0	0	0	0	booktitle	booktitle
SuperComputing	9	0	s/u	n/g	0	-1	1	0	1	46	46	39	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	2	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	3	1	1	3	0	0	0	0	0	0	0	0	0/39	1/0	0	0	0	0	booktitle	booktitle
95	2	1	9/5	9/5	1	-1	-1	-1	2	39	39	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/0/0/0	0	0	2	0/0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0/44	0/0	0	0	0	1	booktitle	booktitle
Dec	3	0	d/e	e/c	0	0	1	0	0	44	44	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0/0/0	0	0	3	0/0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	4	0	1	4	0	0	0	0	0	0	0	0	0/46	0/0	0	0	0	0	date	date
