Pagallo	9	0	pa	lo	0	-1	-1	0	1	32	32	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/44	0	author	author
G	1	2	gX	Xg	0	-1	-1	0	0	44	32	46	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0/2	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/46	0	author	author
Haussler	9	0	ha	er	0	-1	-1	0	1	38	32	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	2/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/44	0	author	author
D	1	2	dX	Xd	0	-1	1	0	0	44	32	46	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/46	0	author	author
1990	4	1	19	90	1	-1	-1	1	2	40	32	41	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/41	0	date	date
Boolean	9	0	bo	an	0	0	-1	0	1	46	32	32	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0	title	title
feature	9	1	fe	re	0	-1	-1	0	0	32	41	32	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0	title	title
discovery	9	1	di	ry	0	-1	-1	0	1	32	41	32	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0	title	title
in	2	1	in	in	0	-1	-1	0	1	32	41	32	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0/32	0	title	title
empirical	9	1	em	al	0	-1	-1	0	1	32	41	32	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/32	0	title	title
learning	9	1	le	ng	0	-1	-1	0	1	32	41	46	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/46	0	title	title
Machine	9	0	ma	ne	0	-1	-1	0	1	46	32	32	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0/32	0	journal	journal
Learning	9	0	le	ng	0	-1	1	0	1	32	46	44	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	32767	0	0	0	0	0	0	0	0/32767	0	0	0	0	0	0	0	0	0	0	0	0	1/0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/44	0	journal	journal
5	1	1	5X	X5	1	-1	0	0	2	44	32	40	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0/2	0	0	0	0	0	0	0	0	0	0	0	0	32767/0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/40	0	volume	volume
1	1	1	1X	X1	1	0	1	0	2	40	32	41	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	32767	0	0	0	0	0	0	0	0/32767	0	0	0	0	0	0	0	0	0	0	0	0	2/0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/41	0	volume	volume
71	2	1	71	71	1	1	1	-1	2	44	32	45	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0/2	0	0	0	0	0	0	0	0	0	0	0	0	32767/0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/45	0	pages	pages
99	2	1	99	99	1	1	-1	-1	2	32	45	46	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	32767	0	0	0	0	0	0	0	0/32767	0	0	0	0	0	0	0	0	0	0	0	0	2/0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/46	0	pages	pages
D	1	2	dX	Xd	0	0	-1	0	0	46	32	46	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	32767/0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/46	0	author	author
Waltz	5	0	wa	tz	0	-1	-1	0	1	46	32	46	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	1	0	0	0	0	0	1/0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0/46	0	author	author
Understanding	9	0	un	ng	0	-1	-1	0	1	46	32	32	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0/1	0	0	0	0	0	0	0	0	0	0	0	0	1/0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0/32	0	title	title
linedrawings	9	1	li	gs	0	-1	-1	0	1	32	46	32	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	32767	0	0	1	0	0	0	0	0/32767	0	0	0	0	0	0	0	0	0	0	0	0	1/0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/32	0	title	title
